member_id	start_date	DURATION	INT_MEAN	INT_PEAK	AUC	log_SEVERITY_1	log_SEVERITY_2	MV [D,I]	COMPINDX_k3_ss404	COMPINDX_k4_ss355	COMPINDX_k5_ss372
r10i1181p1f1	1977-07-02	4	1.248	1.375	0.586	2.39643966846567	1.7383586925009398	(4, 1.248)	0	3	3
r10i1181p1f1	1977-07-10	5	1.935	2.288	4.17	3.1194513308906133	3.863295203262447	(5, 1.935)	1	1	4
r10i1181p1f1	1979-07-08	3	1.332	1.481	0.692	2.069552181132402	1.525129238362278	(3, 1.332)	0	3	3
r10i1181p1f1	1980-06-12	3	1.375	1.496	0.821	2.097368585337483	1.6612788732430224	(3, 1.375)	0	3	3
r10i1181p1f1	1980-07-09	4	1.401	1.627	1.198	2.5020914745421012	2.3593434268126545	(4, 1.401)	0	0	0
r10i1181p1f1	1980-07-24	3	1.264	1.568	0.487	2.0239204625683063	1.2614469334490395	(3, 1.264)	0	3	3
r10i1181p1f1	1980-07-30	3	1.581	1.956	1.44	2.2208452855934833	2.138000441796591	(3, 1.581)	1	0	0
r10i1181p1f1	1980-08-25	4	1.378	1.483	1.106	2.486904652450673	2.2872683888821523	(4, 1.378)	0	3	3
r10i1181p1f1	1981-06-12	3	1.335	1.481	0.701	2.0715181700506955	1.535253627775467	(3, 1.335)	0	3	3
r10i1181p1f1	1981-06-22	4	1.36	1.492	1.036	2.474856313934499	2.2287232443955904	(4, 1.36)	0	3	3
r10i1181p1f1	1981-07-30	5	1.414	1.836	1.562	2.8219144930013615	2.9158061497324335	(5, 1.414)	1	0	0
r10i1181p1f1	1982-06-04	6	1.66	1.951	3.354	3.2346278217057085	3.917876472092262	(6, 1.66)	1	1	4
r10i1181p1f1	1982-07-27	4	1.338	1.567	0.948	2.4599306637178233	2.1499000053283974	(4, 1.338)	0	3	3
r10i1181p1f1	1983-08-24	5	1.472	1.58	1.852	2.8597670824660124	3.07758823498031	(5, 1.472)	0	0	0
r10i1181p1f1	1985-06-29	3	1.343	1.577	0.725	2.076741989126375	1.5617613343545442	(3, 1.343)	0	3	3
r10i1181p1f1	1986-07-09	4	1.462	1.582	1.444	2.541286983224108	2.5298800154307313	(4, 1.462)	0	0	0
r10i1181p1f1	1988-08-17	4	1.608	2.106	2.026	2.629295552413305	2.8453743919654286	(4, 1.608)	1	1	4
r10i1181p1f1	1989-06-03	5	1.293	1.447	0.961	2.738008889368074	2.4633685811946675	(5, 1.293)	0	3	3
r10i1181p1f1	1989-07-15	3	1.653	2.036	1.655	2.260641631816534	2.261724791446281	(3, 1.653)	1	1	0
r10i1181p1f1	1989-08-05	4	1.929	2.169	3.311	2.7992306531862026	3.3137495458018447	(4, 1.929)	1	1	4
r10i1181p1f1	1989-08-26	3	1.209	1.288	0.324	1.9854259119535547	0.9871418062162414	(3, 1.209)	0	3	3
r10i1181p1f1	1990-06-08	7	1.587	2.013	3.402	3.414167942886387	4.158975605980762	(7, 1.587)	1	1	4
